cell	cell_type
RD_SRR11618812	Fibroblast
RD_SRR11618816	T cell
RD_SRR11618820	T cell
RD_SRR11618821	cDC
RD_SRR11618822	Macrophage
RD_SRR11618826	T cell
RD_SRR11618827	cDC
RD_SRR11618828	Epithelial
RD_SRR11618834	T cell
RD_SRR11618838	T cell
RD_SRR11618839	cDC
RD_SRR11618840	Mast cell
RD_SRR11618844	Macrophage
RD_SRR11618845	Mast cell
RD_SRR11618846	B cell
RD_SRR11618850	T cell
RD_SRR11618851	Macrophage
RD_SRR11618858	cDC
RD_SRR11618864	T cell
RD_SRR11618865	Fibroblast
RD_SRR11618866	Macrophage
RD_SRR11618869	Endothelial
RD_SRR11618873	T cell
RD_SRR11618875	B cell
RD_SRR11618879	T cell
RD_SRR11618880	pDC
RD_SRR11618884	pDC
RD_SRR11618885	T cell
RD_SRR11618893	Endothelial
RD_SRR11618894	Endothelial
RD_SRR11618901	B cell
RD_SRR11618903	Mast cell
RD_SRR11618904	Fibroblast
RD_SRR11618905	T cell
RD_SRR11618908	Macrophage
RD_SRR11618909	Endothelial
RD_SRR11618914	cDC
RD_SRR11618915	Endothelial
RD_SRR11618916	B cell
RD_SRR11618920	Fibroblast
RD_SRR11618921	Mast cell
RD_SRR11618922	T cell
RD_SRR11618926	pDC
RD_SRR11618931	Macrophage
RD_SRR11618932	B cell
RD_SRR11618933	Mast cell
RD_SRR11618937	Fibroblast
RD_SRR11618938	Mast cell
RD_SRR11618942	T cell
RD_SRR11618946	Macrophage
RD_SRR11618947	Fibroblast
RD_SRR11618953	T cell
RD_SRR11618954	Macrophage
RD_SRR11618955	cDC
RD_SRR11618960	T cell
RD_SRR11618961	pDC
RD_SRR11618962	cDC
RD_SRR11618968	T cell
RD_SRR11618969	T cell
RD_SRR11618970	Epithelial
RD_SRR11618971	cDC
RD_SRR11618975	T cell
RD_SRR11618976	pDC
RD_SRR11618977	cDC
RD_SRR11618978	Fibroblast
RD_SRR11618980	Endothelial
RD_SRR11618982	T cell
RD_SRR11618983	B cell
RD_SRR11618984	cDC
RD_SRR11618985	Epithelial
RD_SRR11618992	T cell
RD_SRR11618993	T cell
RD_SRR11618994	Macrophage
RD_SRR11618995	Epithelial
RD_SRR11619001	T cell
RD_SRR11619002	T cell
RD_SRR11619003	Macrophage
RD_SRR11619004	Fibroblast
RD_SRR11619007	Fibroblast
RD_SRR11619008	B cell
RD_SRR11619009	B cell
RD_SRR11619014	Fibroblast
RD_SRR11619015	cDC
RD_SRR11619022	T cell
RD_SRR11619023	T cell
RD_SRR11619024	Fibroblast
RD_SRR11619025	Mast cell
RD_SRR11619032	T cell
RD_SRR11619037	Endothelial
RD_SRR11619038	Mast cell
RD_SRR11619045	T cell
RD_SRR11619049	Mast cell
RD_SRR11619050	B cell
RD_SRR11619054	B cell
RD_SRR11619057	cDC
RD_SRR11619059	T cell
RD_SRR11619060	B cell
RD_SRR11619063	Macrophage
RD_SRR11619065	Mast cell
RD_SRR11619070	Macrophage
RD_SRR11619071	T cell
RD_SRR11619072	T cell
RD_SRR11619077	Endothelial
RD_SRR11619078	Mast cell
RD_SRR11619082	Endothelial
RD_SRR11619083	Mast cell
RD_SRR11619089	Mast cell
RD_SRR11619090	T cell
RD_SRR11619093	Epithelial
RD_SRR11619094	cDC
RD_SRR11619095	Macrophage
RD_SRR11619100	T cell
RD_SRR11619101	Macrophage
RD_SRR11619106	T cell
RD_SRR11619107	Epithelial
RD_SRR11619113	Macrophage
RD_SRR11619116	cDC
RD_SRR11619121	T cell
RD_SRR11619122	cDC
RD_SRR11619128	Macrophage
RD_SRR11619129	Mast cell
RD_SRR11619137	Mast cell
RD_SRR11619138	Endothelial
RD_SRR11619145	Macrophage
RD_SRR11619146	cDC
RD_SRR11619152	cDC
RD_SRR11619155	T cell
RD_SRR11619156	B cell
RD_SRR11619160	T cell
RD_SRR11619161	T cell
