"logFC","logCPM","F","PValue","FDR","gene","cluster_id","contrast","Significant","neglogFDR"
-10.0223347007117,3.3658693490138,358.566088389888,8.73921488777247e-65,3.98430516972311e-61,"WFDC2","Macrophage","PD - RD",TRUE,60.3996474050749
-10.9784568338433,3.74440868365369,355.046484929645,1.71931171205429e-64,7.05467981690115e-61,"MGST1","Macrophage","PD - RD",TRUE,60.1515226923148
12.0391084513391,2.94755956035084,257.48524798106,9.57574662358506e-49,3.92912035458942e-44,"FCRL5","Macrophage","TN - PD",TRUE,43.4057046679218
11.4770004675798,3.00207292938599,183.982371509478,3.01005038427058e-38,6.17541936836953e-34,"CD79A","Macrophage","TN - PD",TRUE,33.2093335444352
4.74440962770331,8.40956500377536,168.234932061726,1.15196560128746e-36,1.18168631380067e-32,"SSR4","Macrophage","TN - PD",TRUE,31.9274977944071
12.3959936941211,3.6772567665777,175.028820094159,9.75714113010887e-37,1.18168631380067e-32,"DERL3","Macrophage","TN - PD",TRUE,31.9274977944071
15.7508707282462,5.13596598642577,167.283316883966,3.03570190092477e-36,2.4912184079749e-32,"IGKC","Macrophage","TN - PD",TRUE,31.603588195699
10.1207633978902,2.25204702217797,155.436698310962,8.80247420502593e-32,6.0197186930104e-28,"IGLL5","Macrophage","TN - PD",TRUE,27.2204238032485
10.8934080285979,2.26277697187045,142.49684404339,1.55137630925602e-29,9.0937246744847e-26,"IGLV3-1","Macrophage","TN - PD",TRUE,25.0412581988182
10.636639221528,2.30921549599466,132.384557458536,2.13212696143273e-28,1.09356791851885e-24,"PLCG2","Macrophage","TN - PD",TRUE,23.9611542389437
-2.75423687360403,8.42507389505007,122.762856496528,1.42115823083178e-27,6.47921828083219e-24,"PFN1","Macrophage","TN - PD",TRUE,23.1884773886974
2.13263177476535,10.6195446345275,122.19230883902,2.25391785695324e-27,9.24827575065055e-24,"UBC","Macrophage","TN - PD",TRUE,23.0339392296155
-12.6264532694186,3.77743200676277,729.350533709675,1.79058065706973e-108,3.67355527604426e-104,"FOLR1","Macrophage","TN - RD",TRUE,103.434913420935
-14.4234564633104,4.43218630062735,762.170487315468,1.74206036906819e-108,3.67355527604426e-104,"SFTPD","Macrophage","TN - RD",TRUE,103.434913420935
-11.9984690370187,3.64347752186659,684.008801106346,4.92489761985153e-104,6.73594663792493e-100,"EPCAM","Macrophage","TN - RD",TRUE,99.1716013619696
-10.394780908472,3.51695062678023,560.677090426729,3.94695945288243e-91,4.0487910067668e-87,"PEBP4","Macrophage","TN - RD",TRUE,86.3926746403594
-12.4020820620624,3.61113582739005,536.805132995071,1.18877731981843e-86,9.75558219735794e-83,"CXCL17","Macrophage","TN - RD",TRUE,82.0107468075042
-11.4566752894445,3.3658693490138,477.945074378118,5.1353658780238e-81,3.51190554511788e-77,"WFDC2","Macrophage","TN - RD",TRUE,76.4544571732288
-12.4995652210112,3.74440868365369,457.629762145982,1.10122017121947e-78,6.45503800935391e-75,"MGST1","Macrophage","TN - RD",TRUE,74.1901011961235
-11.8115035641821,3.32222430031571,409.723834863711,1.24267932883129e-71,6.37370227757568e-68,"LMO7","Macrophage","TN - RD",TRUE,67.1956082267465
-10.9548071195275,3.28415525897457,390.064739258584,2.59606399281073e-70,1.18357441947789e-66,"SFTA2","Macrophage","TN - RD",TRUE,65.9268044297903
-13.0379878557837,3.61718155750082,396.629580175303,9.70572424347279e-69,3.98245277158176e-65,"TCIM","Macrophage","TN - RD",TRUE,64.3998493658503
12.9575318818233,5.63834233180917,1287.8878039474,3.80047686597553e-113,1.55941166764708e-108,"EPCAM","Mast cell","PD - RD",TRUE,107.807039220676
13.7635851629584,5.81588321554952,1102.40421003456,6.63618950240488e-101,1.36148063831338e-96,"TACSTD2","Mast cell","PD - RD",TRUE,95.8659885304044
13.0915873916228,5.25158619628528,943.608209005738,5.19650740446432e-98,7.10743639399933e-94,"MGST1","Mast cell","PD - RD",TRUE,93.1482870182163
14.3662374385094,5.93568711417672,809.560613006245,3.3623625451433e-84,3.449111498808e-80,"CLDN4","Mast cell","PD - RD",TRUE,79.462292766046
12.9039704247253,5.11198668523435,627.742233949189,2.52568731981012e-77,2.07268004212898e-73,"GPRC5A","Mast cell","PD - RD",TRUE,72.6834677344052
13.7075460989327,5.37877543872282,640.905485172552,1.10328577251214e-76,7.54500363628635e-73,"C3","Mast cell","PD - RD",TRUE,72.1223405465817
12.4261407458847,4.41848254644949,572.086580482453,5.58622660434366e-75,3.27448642899184e-71,"EMP2","Mast cell","PD - RD",TRUE,70.4848568051516
13.340840039686,5.03292641350062,514.811381117721,2.14086332256224e-68,1.09804879814217e-64,"FOLR1","Mast cell","PD - RD",TRUE,63.9593783590727
12.6601020570227,4.76979510631639,470.185937449534,3.26207641139449e-65,1.48721688124821e-61,"TGM2","Mast cell","PD - RD",TRUE,60.8276256935755
13.371137105426,4.91745490671079,472.065673166935,5.08081448440715e-65,2.08475979924194e-61,"CXCL17","Mast cell","PD - RD",TRUE,60.680943976121
12.3409135490166,1.04880532450837,72.0340664384874,2.46614221338421e-16,1.01190747299581e-11,"KRT17","Mast cell","TN - PD",TRUE,10.9948591967892
7.01622272581444,2.57173042273639,44.6454167054322,7.31626306570961e-11,6.28556822833304e-07,"XIST","Mast cell","TN - PD",TRUE,6.20165545508629
-1.6733131515024,7.01205240184517,44.9524203435955,5.0406423671067e-11,6.28556822833304e-07,"RPL41","Mast cell","TN - PD",TRUE,6.20165545508629
7.88397150824859,0.457121146152817,45.6968224021771,4.36925993777299e-11,6.28556822833304e-07,"HDGFL3","Mast cell","TN - PD",TRUE,6.20165545508629
